Original	Salva	Casimir	Type	Subtype	Characteristic
plasmacytoid dendritic cell	plasmacytoid dendritic cell	plasmacytoid dendritic 	dendritic	plasmacytoid	
podocyte	podocyte	podocyte	podocyte		
pre b cell	b cell	b 	b		
primordial germ cell	primordial germ cell	intra-adrenal_ganglion primordial_germ	germ	intra-adrenal_ganglion	primordial
principle cell	principle cell	principle 	principle		
proliferating alveolar bipotent progenitor cell	proliferating alveolar bipotent progenitor cell	proliferating bipotent_progenitor alveolar 	bipotent_progenitor	proliferating	
proliferating b cell	b cell	proliferating b	b	proliferating	
proliferating cell	proliferating cell	proliferating 	proliferating 		
proliferating endothelial cell	endothelial cell	proliferating endothelial 	endothelial	proliferating	
proliferating fibroblast	fibroblast	proliferating fibroblast	fibroblast	proliferating	
proliferating intra-adrenal ganglion neuron	neuron	proliferating intra-adrenal_ganglion neuron	neuron	intra-adrenal_ganglion	proliferating
proliferating keratinocyte	keratinocyte	proliferating keratinocyte	keratinocyte	proliferating	
proliferating lung mesenchyme cell	proliferating lung mesenchyme cell	proliferating lung_mesenchyme 	lung_mesenchyme	proliferating	
proliferating mesothelial cell	mesothelial cell	proliferating mesothelial 	mesothelial		proliferating
proliferating monocyte	monocyte	proliferating monocyte	monocyte		proliferating
proliferating radial glia	proliferating radial glia	proliferating radial glia	glia	radial	proliferating
proliferating smooth muscle cell	muscle cell	proliferating smooth muscle	muscle	smooth	proliferating
proliferating stromal cell	stromal cell	proliferating stromal	stromal		proliferating
proliferating t cell	t cell	proliferating t	t		proliferating
proximal progenitor cell	proximal progenitor cell	progenitor proximal 	proximal_tubule		progenitor
proximal tubule cell	proximal tubule cell	proximal tubule 	tubule	proximal	
proximal tubule progenitor cell	proximal tubule progenitor cell	progenitor proximal_tubule 	tubule	proximal	progenitor
purkinje cell	purkinje cell	purkinje 	purkinje		
radial glia	radial glia	radial glia	glia	radial	
retinal pigment epithelal cell	pigment cell	retinal_pigment epithelial	epithelial	retinal_pigment	
retinal progenitor cell	retinal progenitor cell	retinal progenitor 	retinal		progenitor
secretory epithelial cell	secretory cell	secretory epithelial	epithelial	secretory	
secretory cell	secretory cell	secretory cell	secretory		
